first_name,white,black,api,hispanic,native,multiple
AILEEN,5.563810961195281e-05,3.5726297177415675e-05,0.0002515959506509602,9.282094975890304e-05,0.0,0.0002422099650821232
AIMEE,0.0002604051848652786,1.784118163883795e-05,0.00011382800684238322,9.280795513169273e-05,0.0002263388728464628,0.00024253914679107276
AISHA,8.208951210156113e-06,0.00038397371125741106,4.1931041064702734e-05,2.18414567739309e-05,0.0,0.0
AJAY,1.778628898176075e-05,8.924832405267834e-06,0.000652939098536343,5.456979038495165e-06,0.0006776161744337161,0.00024191466972556548
AJIT,6.38466686166622e-06,0.0,0.00031748442031593823,5.461456178962584e-06,0.0,0.0
AKBAR,6.840778993544745e-06,0.0,9.584475001806836e-05,0.0,0.0,0.0
AKIKO,4.104516649834108e-06,8.928761453212043e-06,0.00013178694310698205,5.459381406550854e-06,0.0,0.0
AL,3.1011575218475965e-05,8.930011604830653e-05,4.792420204615571e-05,2.730072898193377e-05,0.00022588711668334268,0.0
ALAIN,3.466018952074025e-05,0.00010715263834825618,5.39143678847865e-05,8.73582923959126e-05,0.0,0.00024199212424531834
ALAINA,2.3714633927239742e-05,8.928761453212044e-06,5.989686615779256e-06,5.459381406550855e-06,0.0,0.0
ALAN,0.0020221312231467163,0.00045558025285442,0.001377862441312205,0.00039322888523158153,0.0011264088171238085,0.0007311827687355918
ALANA,5.9286646385233446e-05,0.00011608916860081246,1.1978834105850522e-05,4.3681439367464e-05,0.0,0.0
ALANE,1.0033162590190806e-05,0.0,0.0,0.0,0.0,0.0
ALANNA,2.3258594763816417e-05,0.0,5.990944575764567e-06,0.0,0.00022590292814905186,0.0
ALASTAIR,8.208951210156113e-06,0.0,0.0,0.0,0.0,0.0
ALBA,8.664921965652686e-06,0.0,5.990585158625907e-06,0.0005077739579246046,0.0,0.0
ALBERT,0.0008304746250382298,0.0016162853090851946,0.001096165365201274,0.001261273258836867,0.001128373956433381,0.0009684840536283781
ALBERTA,3.785251383051646e-05,0.00032147077374713144,1.7973013435863034e-05,5.4601021169675606e-05,0.0,0.0
ALBERTO,3.42052038393889e-05,2.6782712497868666e-05,0.00027555613478263193,0.0029920535370342033,0.0004521582261053375,0.0
ALDEN,1.3681521502861887e-05,8.93108316336089e-06,2.3960423743097432e-05,1.6380328190612276e-05,0.0,0.0
ALDO,1.9610117277405635e-05,0.0,2.3962700051642284e-05,0.00036581557254667437,0.0,0.0
ALEC,4.469305111605334e-05,1.786064828547061e-05,5.3913349536226965e-05,0.0,0.0,0.0
ALECIA,3.1923826845403715e-05,0.00013394535205907374,0.0,1.0918926610923686e-05,0.0004517177638462954,0.0
ALEJANDRA,7.296704143756816e-06,0.0,3.5945128328879406e-05,0.000879046891704692,0.0,0.0
ALEJANDRO,2.5995937952769728e-05,8.944120458812128e-06,0.0001377538666373128,0.0040403470398650155,0.0,0.0
ALEKSANDAR,1.368158535026019e-05,0.0,0.0,0.0,0.0,0.0
