first_name,male,female
ASA,1.0,0.0
ASHA,0.0,1.0
ASHANTI,0.0,1.0
ASHELY,0.0,1.0
ASHLEA,0.0,1.0
ASHLEE,0.0,1.0
ASHLEIGH,0.0,1.0
ASHLEY,0.04416403785488959,0.9558359621451105
ASHLI,0.0,1.0
ASHLIE,0.0,1.0
ASHLY,0.0,1.0
ASHLYN,0.0,1.0
ASHTON,0.0,1.0
ASIA,0.0,1.0
ASLEY,0.0,1.0
ASSUNTA,0.0,1.0
ASTRID,0.0,1.0
ASUNCION,0.0,1.0
ATHENA,0.0,1.0
AUBREY,0.7307692307692307,0.2692307692307692
AUDIE,0.0,1.0
AUDRA,0.0,1.0
AUDREA,0.0,1.0
AUDREY,0.0,1.0
AUDRIA,0.0,1.0
AUDRIE,0.0,1.0
AUDRY,0.0,1.0
AUGUST,1.0,0.0
AUGUSTA,0.0,1.0
AUGUSTINA,0.0,1.0
AUGUSTINE,0.7,0.30000000000000004
AUGUSTUS,1.0,0.0
AUNDREA,0.0,1.0
AURA,0.0,1.0
AUREA,0.0,1.0
AURELIA,0.0,1.0
AURELIO,1.0,0.0
AURORA,0.0,1.0
AURORE,0.0,1.0
AUSTIN,0.9777777777777777,0.02222222222222222
AUTUMN,0.0,1.0
AVA,0.0,1.0
AVELINA,0.0,1.0
AVERY,0.9166666666666667,0.08333333333333333
AVIS,0.0,1.0
AVRIL,0.0,1.0
AWILDA,0.0,1.0
AYAKO,0.0,1.0
AYANA,0.0,1.0
AYANNA,0.0,1.0
AYESHA,0.0,1.0
AZALEE,0.0,1.0
AZUCENA,0.0,1.0
AZZIE,0.0,1.0
BABARA,0.0,1.0
BABETTE,0.0,1.0
BAILEY,0.0,1.0
BAMBI,0.0,1.0
BAO,0.0,1.0
BARABARA,0.0,1.0
BARB,0.0,1.0
BARBAR,0.0,1.0
BARBARA,0.0,1.0
BARBERA,0.0,1.0
BARBIE,0.0,1.0
BARBRA,0.0,1.0
BARI,0.0,1.0
BARNEY,1.0,0.0
BARRETT,1.0,0.0
BARRIE,0.0,1.0
BARRY,1.0,0.0
BART,1.0,0.0
BARTON,1.0,0.0
BASIL,1.0,0.0
BASILIA,0.0,1.0
BEA,0.0,1.0
BEATA,0.0,1.0
BEATRICE,0.0,1.0
BEATRIS,0.0,1.0
BEATRIZ,0.0,1.0
BEAU,1.0,0.0
BEAULAH,0.0,1.0
BEBE,0.0,1.0
BECKI,0.0,1.0
BECKIE,0.0,1.0
BECKY,0.0,1.0
BEE,0.0,1.0
BELEN,0.0,1.0
BELIA,0.0,1.0
BELINDA,0.0,1.0
BELKIS,0.0,1.0
BELL,0.0,1.0
BELLA,0.0,1.0
BELLE,0.0,1.0
BELVA,0.0,1.0
BEN,1.0,0.0
BENEDICT,1.0,0.0
BENITA,0.0,1.0
BENITO,1.0,0.0
BENJAMIN,1.0,0.0
BENNETT,1.0,0.0
BENNIE,0.8205128205128205,0.17948717948717946
BENNY,1.0,0.0
BENTON,1.0,0.0
BERENICE,0.0,1.0
BERNA,0.0,1.0
BERNADETTE,0.0,1.0
BERNADINE,0.0,1.0
BERNARD,1.0,0.0
BERNARDA,0.0,1.0
BERNARDINA,0.0,1.0
BERNARDINE,0.0,1.0
BERNARDO,1.0,0.0
BERNEICE,0.0,1.0
BERNETTA,0.0,1.0
BERNICE,0.0,1.0
BERNIE,0.8,0.2
BERNIECE,0.0,1.0
BERNITA,0.0,1.0
BERRY,0.8571428571428571,0.14285714285714285
BERT,1.0,0.0
BERTA,0.0,1.0
BERTHA,0.0,1.0
BERTIE,0.0,1.0
BERTRAM,1.0,0.0
BERYL,0.0,1.0
BESS,0.0,1.0
BESSIE,0.0,1.0
BETH,0.0,1.0
BETHANIE,0.0,1.0
BETHANN,0.0,1.0
BETHANY,0.0,1.0
BETHEL,0.0,1.0
BETSEY,0.0,1.0
BETSY,0.0,1.0
BETTE,0.0,1.0
BETTIE,0.0,1.0
BETTINA,0.0,1.0
BETTY,0.0,1.0
BETTYANN,0.0,1.0
BETTYE,0.0,1.0
BEULA,0.0,1.0
BEULAH,0.0,1.0
BEV,0.0,1.0
BEVERLEE,0.0,1.0
BEVERLEY,0.0,1.0
BEVERLY,0.0,1.0
BIANCA,0.0,1.0
BIBI,0.0,1.0
BILL,1.0,0.0
BILLI,0.0,1.0
BILLIE,0.19767441860465115,0.8023255813953488
BILLY,0.9841269841269841,0.015873015873015872
BILLYE,0.0,1.0
BIRDIE,0.0,1.0
BIRGIT,0.0,1.0
BLAINE,1.0,0.0
