first_name,white,black,api,hispanic,native,multiple
GABINO,0.027030000000000002,0.0,0.0,0.9729700000000001,0.0,0.0
GABRIEL,0.45956,0.02188,0.022840000000000003,0.49286,0.0,0.0028499999999999997
GABRIELA,0.36395000000000005,0.0034000000000000002,0.0,0.62585,0.0034000000000000002,0.0034000000000000002
GABRIELE,0.9538500000000001,0.0,0.0,0.046150000000000004,0.0,0.0
GABRIELLA,0.8591500000000001,0.0,0.0,0.12675999999999998,0.0,0.014080000000000002
GABRIELLE,0.8995000000000001,0.055279999999999996,0.00503,0.02513,0.00503,0.010049999999999998
GAETANO,0.98413,0.0,0.01587,0.0,0.0,0.0
GAIL,0.93473,0.0416,0.01641,0.00573,0.0,0.00153
GALE,0.89538,0.06462000000000001,0.024619999999999996,0.012309999999999998,0.00308,0.0
GALEN,0.9379299999999999,0.01379,0.03448,0.01379,0.0,0.0
GALINA,0.98473,0.0,0.015269999999999999,0.0,0.0,0.0
GANESH,0.2,0.0,0.78462,0.01538,0.0,0.0
GANG,0.013159999999999998,0.0,0.9868399999999999,0.0,0.0,0.0
GAREN,1.0,0.0,0.0,0.0,0.0,0.0
GARETH,0.8775499999999999,0.020409999999999998,0.06122000000000001,0.020409999999999998,0.0,0.020409999999999998
GARLAND,0.83505,0.15464,0.0,0.01031,0.0,0.0
GARNET,0.8,0.17143,0.0,0.028569999999999998,0.0,0.0
GARRET,0.88889,0.01389,0.09722000000000001,0.0,0.0,0.0
GARRETT,0.9243700000000001,0.02311,0.03782,0.01261,0.0021,0.0
GARRICK,0.79487,0.07692,0.10255999999999998,0.0,0.025639999999999996,0.0
GARRISON,1.0,0.0,0.0,0.0,0.0,0.0
GARRY,0.92471,0.04,0.02588,0.00941,0.0,0.0
GARTH,0.90789,0.07237,0.013159999999999998,0.0,0.0,0.006579999999999999
GARY,0.95396,0.0168,0.019030000000000002,0.00799,0.00091,0.00132
GASPAR,0.16129000000000002,0.0,0.06452000000000001,0.7741899999999999,0.0,0.0
GAURAV,0.18367,0.0,0.79592,0.0,0.020409999999999998,0.0
GAUTAM,0.15789,0.0,0.7631600000000001,0.052629999999999996,0.026319999999999996,0.0
GAVIN,0.9068600000000001,0.01961,0.04902,0.01961,0.0049,0.0
GAY,0.9457799999999998,0.0241,0.0241,0.0,0.0,0.00602
GAYE,0.94595,0.027030000000000002,0.0,0.027030000000000002,0.0,0.0
GAYLA,0.94068,0.0339,0.0,0.01695,0.00847,0.0
GAYLE,0.9476,0.0262,0.0131,0.010920000000000001,0.0,0.00218
GAYLEN,1.0,0.0,0.0,0.0,0.0,0.0
GAYLENE,1.0,0.0,0.0,0.0,0.0,0.0
GAYLORD,0.9487200000000001,0.025639999999999996,0.0,0.0,0.0,0.025639999999999996
GE,0.0,0.0,1.0,0.0,0.0,0.0
GEETA,0.29230999999999996,0.01538,0.67692,0.0,0.0,0.01538
GEETHA,0.16215999999999997,0.027030000000000002,0.81081,0.0,0.0,0.0
GEMMA,0.54386,0.01754,0.35088,0.08772,0.0,0.0
GENA,0.90551,0.039369999999999995,0.023620000000000002,0.0315,0.0,0.0
GENARO,0.03488,0.0,0.05814,0.9069799999999999,0.0,0.0
GENE,0.8986200000000001,0.04378,0.04147,0.01267,0.00115,0.0023
GENEVA,0.67143,0.27143,0.01429,0.028569999999999998,0.0071400000000000005,0.0071400000000000005
GENEVIEVE,0.8172800000000001,0.036539999999999996,0.05316,0.08306000000000001,0.00997,0.0
GENNADY,1.0,0.0,0.0,0.0,0.0,0.0
GENNARO,0.9772700000000001,0.0,0.0,0.02273,0.0,0.0
GENOVEVA,0.15686,0.0,0.11765,0.72549,0.0,0.0
GEOFF,0.9777799999999999,0.0,0.01111,0.01111,0.0,0.0
GEOFFREY,0.9577899999999999,0.008440000000000001,0.023450000000000002,0.00938,0.0,0.00094
GEORG,1.0,0.0,0.0,0.0,0.0,0.0
GEORGE,0.86945,0.04891,0.03088,0.047080000000000004,0.0019399999999999999,0.0017300000000000002
GEORGENE,0.94595,0.027030000000000002,0.0,0.027030000000000002,0.0,0.0
GEORGETTE,0.8210500000000001,0.13684000000000002,0.02105,0.02105,0.0,0.0
GEORGI,1.0,0.0,0.0,0.0,0.0,0.0
GEORGIA,0.8632299999999999,0.09236000000000001,0.00888,0.03197,0.0035499999999999998,0.0
GEORGIANA,0.8780500000000001,0.048780000000000004,0.024390000000000002,0.048780000000000004,0.0,0.0
GEORGIANNA,0.89189,0.0,0.0,0.05405,0.027030000000000002,0.027030000000000002
GEORGINA,0.48876000000000003,0.06742000000000001,0.02247,0.41573,0.005620000000000001,0.0
GERALD,0.93373,0.03671,0.014080000000000002,0.012470000000000002,0.0016200000000000001,0.0013900000000000002
GERALDINE,0.78109,0.12847,0.031860000000000006,0.05653,0.00103,0.00103
GERALYN,0.93902,0.012199999999999999,0.0,0.012199999999999999,0.0,0.03659
GERARD,0.91315,0.03756,0.0223,0.02347,0.0,0.0035200000000000006
GERARDO,0.08458,0.0,0.053070000000000006,0.86235,0.0,0.0
GERD,1.0,0.0,0.0,0.0,0.0,0.0
GERHARD,0.98611,0.0,0.0,0.01389,0.0,0.0
GERI,0.9708,0.0219,0.0,0.0073,0.0,0.0
GERMAINE,0.75,0.15385,0.01923,0.07692,0.0,0.0
GERMAN,0.15584,0.00649,0.01948,0.81818,0.0,0.0
GERONIMO,0.06667000000000001,0.0,0.15556,0.75556,0.02222,0.0
GERRI,0.95455,0.030299999999999997,0.0,0.015149999999999999,0.0,0.0
GERRIE,1.0,0.0,0.0,0.0,0.0,0.0
GERRY,0.8586399999999998,0.052360000000000004,0.04188,0.047119999999999995,0.0,0.0
GERTRUDE,0.72619,0.22619,0.01786,0.023809999999999998,0.0,0.0059499999999999996
GHASSAN,0.89583,0.0,0.10417,0.0,0.0,0.0
GHEORGHE,1.0,0.0,0.0,0.0,0.0,0.0
GIA,0.69767,0.11628,0.13953,0.046509999999999996,0.0,0.0
GIANCARLO,0.7741899999999999,0.0,0.0,0.22580999999999998,0.0,0.0
GIANG,0.0,0.0,1.0,0.0,0.0,0.0
GIAO,0.0,0.0,1.0,0.0,0.0,0.0
GIDEON,0.83333,0.047619999999999996,0.09523999999999999,0.023809999999999998,0.0,0.0
GIGI,0.7454500000000001,0.03636,0.14545,0.07273,0.0,0.0
GIL,0.53982,0.0,0.22124000000000002,0.23894,0.0,0.0
GILBERT,0.56757,0.04633,0.05148,0.32946999999999993,0.00386,0.0012900000000000001
GILBERTO,0.07458,0.00339,0.00339,0.9186399999999999,0.0,0.0
GILDA,0.52475,0.10890999999999998,0.0495,0.31683000000000006,0.0,0.0
GILDARDO,0.08824,0.0,0.0,0.91176,0.0,0.0
GILES,0.9512200000000002,0.0,0.024390000000000002,0.024390000000000002,0.0,0.0
GILLES,1.0,0.0,0.0,0.0,0.0,0.0
GILLIAN,0.8874200000000001,0.07947,0.01987,0.01325,0.0,0.0
